Country Name,Athlete,Gender,Event,Medal
Austria- pre AUT,"RICHERT-BALZER, Karin",Women,80M Hurdles,Gold
Poland,"WIECZOREK-CIEPLY, Teresa Barbara",Women,80M Hurdles,Silver
Austria- pre AUT,"WALDE, Hans Joachim",Men,Decathlon,Bronze
Austria- pre AUT,"HOLDORF, Willi",Men,Decathlon,Gold
USSR-Prior 1992,"AUN, Rein",Men,Decathlon,Silver
United States,"WEILL, David Lawson",Men,Discus Throw,Bronze
United States,"OERTER, Alfred",Men,Discus Throw,Gold
Czechoslovakia- Prior 1992,"DANEK, Ludvik",Men,Discus Throw,Silver
Romania,"MANOLIU, Lia",Women,Discus Throw,Bronze
USSR-Prior 1992,"PRESS, Tamara",Women,Discus Throw,Gold
Austria- pre AUT,"LOTZ, Ingrid",Women,Discus Throw,Silver
Austria- pre AUT,"BEYER, Uwe",Men,Hammer Throw,Bronze
USSR-Prior 1992,"KLIM, Romuald",Men,Hammer Throw,Gold
Hungary,"ZSIVOTZKY, Gyula",Men,Hammer Throw,Silver
United States,"RAMBO, John Barnett",Men,High Jump,Bronze
USSR-Prior 1992,"BRUMEL, Valeri",Men,High Jump,Gold
United States,"THOMAS, John Curtis",Men,High Jump,Silver
USSR-Prior 1992,"CHENCHIK, Taisiya",Women,High Jump,Bronze
Romania,"BALAS, Iolanda",Women,High Jump,Gold
Australia,"MASON-BROWN, Michelle Mary",Women,High Jump,Silver
USSR-Prior 1992,"LUSIS, Yanis",Men,Javelin Throw,Bronze
Finland,"NEVALA, Pauli Lauri",Men,Javelin Throw,Gold
Hungary,"KULCSAR, Gergely",Men,Javelin Throw,Silver
USSR-Prior 1992,"GORCHAKOVA, Elena",Women,Javelin Throw,Bronze
Romania,"PENES, Mihaela",Women,Javelin Throw,Gold
Hungary,"ANTAL-RUDAS, Marta",Women,Javelin Throw,Silver
USSR-Prior 1992,"TER-OVANESYAN, Igor",Men,Long Jump,Bronze
United Kingdom,"DAVIES, Lynn",Men,Long Jump,Gold
United States,"BOSTON, Ralph Harold",Men,Long Jump,Silver
USSR-Prior 1992,"SHCHELKANOVA, Tatyana",Women,Long Jump,Bronze
United Kingdom,"BIGNAL-RAND, Mary Denise",Women,Long Jump,Gold
Poland,"SZEWINSKA, Irena",Women,Long Jump,Silver
Japan,"TSUBURAYA, Kokichi",Men,Marathon,Bronze
Ethiopia,"BIKILA, Abebe",Men,Marathon,Gold
United Kingdom,"HEATLEY, Benjamin Basil",Men,Marathon,Silver
USSR-Prior 1992,"BYSTROVA, Galina",Women,Pentathlon,Bronze
USSR-Prior 1992,"PRESS, Iryna",Women,Pentathlon,Gold
United Kingdom,"BIGNAL-RAND, Mary Denise",Women,Pentathlon,Silver
Austria- pre AUT,"LEHNERTZ, Klaus",Men,Pole Vault,Bronze
United States,"HANSEN, Frederick Morgan",Men,Pole Vault,Gold
Austria- pre AUT,"REINHARDT, Wolfgang",Men,Pole Vault,Silver
Hungary,"VARJU, Vilmos",Men,Shot Put,Bronze
United States,"LONG, Dallas Crutcher III",Men,Shot Put,Gold
United States,"MATSON, James Randel",Men,Shot Put,Silver
USSR-Prior 1992,"ZYBINA, Galina",Women,Shot Put,Bronze
USSR-Prior 1992,"PRESS, Tamara",Women,Shot Put,Gold
Austria- pre AUT,"GARISCH-CULMBERGER-BOY, Renate",Women,Shot Put,Silver
USSR-Prior 1992,"KRAVCHENKO, Viktor",Men,Triple Jump,Bronze
Poland,"SCHMIDT, Jozef",Men,Triple Jump,Gold
USSR-Prior 1992,"FEDOSEEV, Oleg",Men,Triple Jump,Silver
Tunisia,"GAMMOUDI, Mohamed",Men,10000M,Bronze
Kenya,"TEMU, Nabiba Naftali",Men,10000M,Gold
Ethiopia,"WOLDE, Mamo",Men,10000M,Silver
United States,"GREENE, Charles Edward",Men,100M,Bronze
United States,"HINES, James Ray",Men,100M,Gold
Jamaica,"MILLER, Lennox",Men,100M,Silver
Poland,"SZEWINSKA, Irena",Women,100M,Bronze
United States,"TYUS, Wyomia",Women,100M,Gold
United States,"FERRELL, Barbara Ann",Women,100M,Silver
Italy,"OTTOZ, Eddy",Men,110M Hurdles,Bronze
United States,"DAVENPORT, Willie",Men,110M Hurdles,Gold
United States,"HALL, Ervin",Men,110M Hurdles,Silver
Germany- Prior 1990,"TÜMMLER, Bodo",Men,1500M,Bronze
Kenya,"KEINO, Kipchoge",Men,1500M,Gold
United States,"RYUN, James Ronald",Men,1500M,Silver
United States,"CARLOS, John Wesley",Men,200M,Bronze
United States,"SMITH, Thomas C.",Men,200M,Gold
Australia,"NORMAN, Peter George",Men,200M,Silver
Australia,"LAMY-FRANK, Jennifer",Women,200M,Bronze
Poland,"SZEWINSKA, Irena",Women,200M,Gold
Australia,"BOYLE, Raelene Ann",Women,200M,Silver
USSR-Prior 1992,"SMAGA, Nikolai",Men,20KM Walk,Bronze
USSR-Prior 1992,"GOLUBNICHY, Vladimir",Men,20KM Walk,Gold
Mexico,"PEDRAZA ZUNIGA, Jose",Men,20KM Walk,Silver
United States,"YOUNG, George L.",Men,3000M Steeplechase,Bronze
Kenya,"BIWOTT, Amos Kipwabok",Men,3000M Steeplechase,Gold
Kenya,"KOGO, Benjamin",Men,3000M Steeplechase,Silver
United States,"FREEMAN, Ronald John III",Men,400M,Bronze
United States,"EVANS, Lee Edward",Men,400M,Gold
United States,"JAMES, George Lawrence",Men,400M,Silver
USSR-Prior 1992,"PECHENKINA, Natalya",Women,400M,Bronze
France,"BESSON, Colette",Women,400M,Gold
United Kingdom,"BOARD, Lillian Barbara",Women,400M,Silver
United Kingdom,"SHERWOOD, John",Men,400M Hurdles,Bronze
United Kingdom,"HEMERY, David Peter",Men,400M Hurdles,Gold
Germany- Prior 1990,"HENNIGE, Gerhard",Men,400M Hurdles,Silver
Kenya,"TEMU, Nabiba Naftali",Men,5000M,Bronze
Tunisia,"GAMMOUDI, Mohamed",Men,5000M,Gold
Kenya,"KEINO, Kipchoge",Men,5000M,Silver
United States,"YOUNG, Lawrence Dean",Men,50KM Walk,Bronze
East Germany-Prior 1992,"HÖHNE, Christoph",Men,50KM Walk,Gold
Hungary,"KISS, Antal",Men,50KM Walk,Silver
United States,"FARRELL, Thomas Francis",Men,800M,Bronze
Australia,"DOUBELL, Ralph",Men,800M,Gold
Kenya,"KIPRUGUT, Wilson Chuma",Men,800M,Silver
Netherlands,"GOMMERS, Maria Francisca P.",Women,800M,Bronze
United States,"MANNING-JACKSON, Madeline",Women,800M,Gold
Romania,"SILAI, Ileana",Women,800M,Silver
Taiwan,"CHI, Cheng",Women,80M Hurdles,Bronze
Australia,"CAIRD, Maureen",Women,80M Hurdles,Gold
Australia,"KILBORN-RYAN-NELSON, Pamela",Women,80M Hurdles,Silver
Germany- Prior 1990,"BENDLIN, Kurt",Men,Decathlon,Bronze
United States,"TOOMEY, William Anthony",Men,Decathlon,Gold
Germany- Prior 1990,"WALDE, Hans Joachim",Men,Decathlon,Silver
Czechoslovakia- Prior 1992,"DANEK, Ludvik",Men,Discus Throw,Bronze
United States,"OERTER, Alfred",Men,Discus Throw,Gold
East Germany-Prior 1992,"MILDE, Lothar",Men,Discus Throw,Silver
Hungary,"KLEIBER-KONTSEK, Jolan",Women,Discus Throw,Bronze
Romania,"MANOLIU, Lia",Women,Discus Throw,Gold
Germany- Prior 1990,"WESTERMANN, Liselotte (Liesel)",Women,Discus Throw,Silver
Hungary,"LOVASZ, Lazar",Men,Hammer Throw,Bronze
Hungary,"ZSIVOTZKY, Gyula",Men,Hammer Throw,Gold
USSR-Prior 1992,"KLIM, Romuald",Men,Hammer Throw,Silver
USSR-Prior 1992,"GAVRILOV, Valentin",Men,High Jump,Bronze
United States,"FOSBURY, Richard Douglas",Men,High Jump,Gold
United States,"CARUTHERS, Edward J. Jr.",Men,High Jump,Silver
USSR-Prior 1992,"KOZYR, Valentina",Women,High Jump,Bronze
Czechoslovakia- Prior 1992,"REZKOVA-HUBNER, Miloslava",Women,High Jump,Gold
USSR-Prior 1992,"OKOROKOVA-LAZAREVA, Antonina",Women,High Jump,Silver
Hungary,"KULCSAR, Gergely",Men,Javelin Throw,Bronze
USSR-Prior 1992,"LUSIS, Yanis",Men,Javelin Throw,Gold
Finland,"KINNUNEN, Jorma Viljo Palaavi",Men,Javelin Throw,Silver
Austria,"JANKO-EGGER, Eva",Women,Javelin Throw,Bronze
Hungary,"NEMETH-RANKY, Angela",Women,Javelin Throw,Gold
Romania,"PENES, Mihaela",Women,Javelin Throw,Silver
United States,"BOSTON, Ralph Harold",Men,Long Jump,Bronze
United States,"BEAMON, Bob",Men,Long Jump,Gold
East Germany-Prior 1992,"BEER, Klaus",Men,Long Jump,Silver
USSR-Prior 1992,"TALYSHEVA, Tatyana",Women,Long Jump,Bronze
Romania,"VISCOPOLEANU, Viorica",Women,Long Jump,Gold
United Kingdom,"PARKIN-SHERWOOD, Sheila Hilary",Women,Long Jump,Silver
New Zealand,"RYAN, Michael Robert",Men,Marathon,Bronze
Ethiopia,"WOLDE, Mamo",Men,Marathon,Gold
Japan,"KIMIHARA, Kenji",Men,Marathon,Silver
Hungary,"TOTH, Annamaria",Women,Pentathlon,Bronze
Germany- Prior 1990,"BECKER-MICKLER, Ingrid",Women,Pentathlon,Gold
Austria,"PROKOP-SYKORA, Liese",Women,Pentathlon,Silver
East Germany-Prior 1992,"NORDWIG, Wolfgang",Men,Pole Vault,Bronze
United States,"SEAGREN, Robert Lloyd",Men,Pole Vault,Gold
Germany- Prior 1990,"SCHIPROWSKI, Claus",Men,Pole Vault,Silver
USSR-Prior 1992,"GUSHCHIN, Eduard",Men,Shot Put,Bronze
United States,"MATSON, James Randel",Men,Shot Put,Gold
United States,"WOODS, George Roger",Men,Shot Put,Silver
USSR-Prior 1992,"CHIZHOVA, Nadezhda",Women,Shot Put,Bronze
East Germany-Prior 1992,"HELMBOLD-GUMMEL, Margitta",Women,Shot Put,Gold
East Germany-Prior 1992,"LANGE, Marita",Women,Shot Put,Silver
Italy,"GENTILE, Giuseppe",Men,Triple Jump,Bronze
USSR-Prior 1992,"SANEEV, Viktor",Men,Triple Jump,Gold
Brazil,"PRUDENCIO, Nelson",Men,Triple Jump,Silver
Ethiopia,"YIFTER, Miruts",Men,10000M,Bronze
Finland,"VIREN, Lasse",Men,10000M,Gold
Belgium,"PUTTEMANS, Emiel",Men,10000M,Silver
Jamaica,"MILLER, Lennox",Men,100M,Bronze
USSR-Prior 1992,"BORZOV, Valery",Men,100M,Gold
United States,"TAYLOR, Robert",Men,100M,Silver
Cuba,"CHIVAS BARO, Silvia",Women,100M,Bronze
East Germany-Prior 1992,"STECHER, Renate",Women,100M,Gold
Australia,"BOYLE, Raelene Ann",Women,100M,Silver
East Germany-Prior 1992,"RICHERT-BALZER, Karin",Women,100M Hurdles,Bronze
East Germany-Prior 1992,"EHRHARDT, Annelie",Women,100M Hurdles,Gold
Romania,"BUFANU-STEFANESCU, Valeria",Women,100M Hurdles,Silver
United States,"HILL, Thomas",Men,110M Hurdles,Bronze
United States,"MILBURN, Rodney Jr.",Men,110M Hurdles,Gold
France,"DRUT, Guy",Men,110M Hurdles,Silver
New Zealand,"DIXON, Rodney",Men,1500M,Bronze
Finland,"VASALA, Pekka",Men,1500M,Gold
Kenya,"KEINO, Kipchoge",Men,1500M,Silver
Italy,"PIGNI-CACCHI, Paola",Women,1500M,Bronze
USSR-Prior 1992,"BRAGINA, Lyudmila",Women,1500M,Gold
East Germany-Prior 1992,"HOFFMEISTER, Gunhild",Women,1500M,Silver
Italy,"MENNEA, Pietro",Men,200M,Bronze
USSR-Prior 1992,"BORZOV, Valery",Men,200M,Gold
United States,"BLACK, Lawrence J.",Men,200M,Silver
Poland,"SZEWINSKA, Irena",Women,200M,Bronze
East Germany-Prior 1992,"STECHER, Renate",Women,200M,Gold
Australia,"BOYLE, Raelene Ann",Women,200M,Silver
East Germany-Prior 1992,"REIMANN, Hans",Men,20KM Walk,Bronze
East Germany-Prior 1992,"FRENKEL, Peter",Men,20KM Walk,Gold
USSR-Prior 1992,"GOLUBNICHY, Vladimir",Men,20KM Walk,Silver
Finland,"KANTANEN, Tapio",Men,3000M Steeplechase,Bronze
Kenya,"KEINO, Kipchoge",Men,3000M Steeplechase,Gold
Kenya,"JIPCHO, Benjamin Wabura",Men,3000M Steeplechase,Silver
Kenya,"SANG, Julius",Men,400M,Bronze
United States,"MATTHEWS, Vincent Edward",Men,400M,Gold
United States,"COLLETT, Wayne Curtis",Men,400M,Silver
United States,"HAMMOND, Kathleen",Women,400M,Bronze
East Germany-Prior 1992,"ZEHRT, Monika",Women,400M,Gold
Germany- Prior 1990,"WILDEN-JAHN, Rita",Women,400M,Silver
United Kingdom,"HEMERY, David Peter",Men,400M Hurdles,Bronze
Uganda,"AKII-BUA, John",Men,400M Hurdles,Gold
United States,"MANN, Ralph Vernon",Men,400M Hurdles,Silver
United Kingdom,"STEWART, Ian",Men,5000M,Bronze
Finland,"VIREN, Lasse",Men,5000M,Gold
Tunisia,"GAMMOUDI, Mohamed",Men,5000M,Silver
United States,"YOUNG, Lawrence Dean",Men,50KM Walk,Bronze
Germany- Prior 1990,"KANNENBERG, Bernd",Men,50KM Walk,Gold
USSR-Prior 1992,"SOLDATENKO, Veniamin",Men,50KM Walk,Silver
Kenya,"BOIT, Michael",Men,800M,Bronze
United States,"WOTTLE, David James",Men,800M,Gold
USSR-Prior 1992,"ARZHANOV, Yevgeni",Men,800M,Silver
East Germany-Prior 1992,"HOFFMEISTER, Gunhild",Women,800M,Bronze
Germany- Prior 1990,"FALCK-JANZE, Hildegard",Women,800M,Gold
USSR-Prior 1992,"SABAITE, Niole",Women,800M,Silver
Poland,"KATUS, Ryszard",Men,Decathlon,Bronze
USSR-Prior 1992,"AVILOV, Nikolai",Men,Decathlon,Gold
USSR-Prior 1992,"LITVINENKO, Leonid",Men,Decathlon,Silver
Sweden,"BRUCH, Rickard",Men,Discus Throw,Bronze
Czechoslovakia- Prior 1992,"DANEK, Ludvik",Men,Discus Throw,Gold
United States,"SILVESTER, L.Jay",Men,Discus Throw,Silver
Bulgaria,"STOEVA, Vassilka",Women,Discus Throw,Bronze
USSR-Prior 1992,"MELNIK, Faina",Women,Discus Throw,Gold
Romania,"MENIS, Argentina",Women,Discus Throw,Silver
USSR-Prior 1992,"KHMELEVSKY, Vasili",Men,Hammer Throw,Bronze
USSR-Prior 1992,"BONDARCHUK, Anatoli",Men,Hammer Throw,Gold
East Germany-Prior 1992,"SACHSE, Jochen",Men,Hammer Throw,Silver
United States,"STONES, Dwight Edwin",Men,High Jump,Bronze
USSR-Prior 1992,"TARMAK, Yuri",Men,High Jump,Gold
East Germany-Prior 1992,"JUNGE, Stefan",Men,High Jump,Silver
Austria,"GUSENBAUER-MAJDAN, Ilona",Women,High Jump,Bronze
Germany- Prior 1990,"MEYFARTH, Ulrike",Women,High Jump,Gold
Bulgaria,"BLAGOEVA-DIMITROVA, Yordanka",Women,High Jump,Silver
United States,"SCHMIDT, William David",Men,Javelin Throw,Bronze
Germany- Prior 1990,"WOLFERMANN, Klaus",Men,Javelin Throw,Gold
USSR-Prior 1992,"LUSIS, Yanis",Men,Javelin Throw,Silver
United States,"SCHMIDT, Kathryn Joan",Women,Javelin Throw,Bronze
East Germany-Prior 1992,"FUCHS, Ruth",Women,Javelin Throw,Gold
East Germany-Prior 1992,"TODTEN-HEIN, Jaqueline",Women,Javelin Throw,Silver
United States,"ROBINSON, Arnie",Men,Long Jump,Bronze
United States,"WILLIAMS, Randel Luvelle",Men,Long Jump,Gold
Germany- Prior 1990,"BAUMGARTNER, Hans",Men,Long Jump,Silver
Czechoslovakia- Prior 1992,"SURANOVA, Eva",Women,Long Jump,Bronze
Germany- Prior 1990,"ROSENDAHL, Heidemarie",Women,Long Jump,Gold
Bulgaria,"CHRISTOVA-YORGOVA, Diana",Women,Long Jump,Silver
Ethiopia,"WOLDE, Mamo",Men,Marathon,Bronze
United States,"SHORTER, Frank Charles",Men,Marathon,Gold
Belgium,"LISMONT, Karel",Men,Marathon,Silver
East Germany-Prior 1992,"POLLAK, Burglinde",Women,Pentathlon,Bronze
United Kingdom,"PETERS, Mary",Women,Pentathlon,Gold
Germany- Prior 1990,"ROSENDAHL, Heidemarie",Women,Pentathlon,Silver
United States,"JOHNSON, Jan Eric",Men,Pole Vault,Bronze
East Germany-Prior 1992,"NORDWIG, Wolfgang",Men,Pole Vault,Gold
United States,"SEAGREN, Robert Lloyd",Men,Pole Vault,Silver
East Germany-Prior 1992,"BRIESENICK, Hartmut",Men,Shot Put,Bronze
Poland,"KOMAR, Wladyslaw",Men,Shot Put,Gold
United States,"WOODS, George Roger",Men,Shot Put,Silver
Bulgaria,"CHRISTOVA-TODOROVA, Ivanka Mikailova",Women,Shot Put,Bronze
USSR-Prior 1992,"CHIZHOVA, Nadezhda",Women,Shot Put,Gold
East Germany-Prior 1992,"HELMBOLD-GUMMEL, Margitta",Women,Shot Put,Silver
Brazil,"PRUDENCIO, Nelson",Men,Triple Jump,Bronze
USSR-Prior 1992,"SANEEV, Viktor",Men,Triple Jump,Gold
East Germany-Prior 1992,"DREHMEL, Jörg",Men,Triple Jump,Silver
United Kingdom,"FOSTER, Brendan",Men,10000M,Bronze
Finland,"VIREN, Lasse",Men,10000M,Gold
Portugal,"LOPES, Carlos",Men,10000M,Silver
USSR-Prior 1992,"BORZOV, Valery",Men,100M,Bronze
Trinidad and Tobago,"CRAWFORD, Hasely",Men,100M,Gold
Jamaica,"QUARRIE, Donald",Men,100M,Silver
Germany- Prior 1990,"HELTEN, Inge",Women,100M,Bronze
Germany- Prior 1990,"RICHTER-IRRGANG, Annegret",Women,100M,Gold
East Germany-Prior 1992,"STECHER, Renate",Women,100M,Silver
USSR-Prior 1992,"LEBEDEVA, Natalya",Women,100M Hurdles,Bronze
East Germany-Prior 1992,"SCHALLER-KLIER, Johanna",Women,100M Hurdles,Gold
USSR-Prior 1992,"ANISIMOVA, Tatiana",Women,100M Hurdles,Silver
United States,"DAVENPORT, Willie",Men,110M Hurdles,Bronze
France,"DRUT, Guy",Men,110M Hurdles,Gold
Cuba,"CASANAS RAMIREZ, Alejandro",Men,110M Hurdles,Silver
Germany- Prior 1990,"WELLMANN, Paul-Heinz",Men,1500M,Bronze
New Zealand,"WALKER, John",Men,1500M,Gold
Belgium,"VAN DAMME, Ivo",Men,1500M,Silver
East Germany-Prior 1992,"KLAPEZYNSKI-BRUNS, Ulrike",Women,1500M,Bronze
USSR-Prior 1992,"KAZANKINA, Tatiana",Women,1500M,Gold
East Germany-Prior 1992,"HOFFMEISTER, Gunhild",Women,1500M,Silver
United States,"EVANS, Dwayne Eugene",Men,200M,Bronze
Jamaica,"QUARRIE, Donald",Men,200M,Gold
United States,"HAMPTON, Millard Frank Jr.",Men,200M,Silver
East Germany-Prior 1992,"STECHER, Renate",Women,200M,Bronze
East Germany-Prior 1992,"ECKERT-WÖCKEL, Bärbel",Women,200M,Gold
Germany- Prior 1990,"RICHTER-IRRGANG, Annegret",Women,200M,Silver
East Germany-Prior 1992,"FRENKEL, Peter",Men,20KM Walk,Bronze
Mexico,"BAUTISTA ROCHA, Daniel",Men,20KM Walk,Gold
East Germany-Prior 1992,"REIMANN, Hans",Men,20KM Walk,Silver
East Germany-Prior 1992,"BAUMGARTL, Frank",Men,3000M Steeplechase,Bronze
Sweden,"GARDERUD, Anders",Men,3000M Steeplechase,Gold
Poland,"MALINOWSKI, Bronislaw",Men,3000M Steeplechase,Silver
United States,"FRAZIER, Herman Ronald",Men,400M,Bronze
Cuba,"JUANTORENA, Alberto",Men,400M,Gold
United States,"NEWHOUSE, Frederick Vaughn",Men,400M,Silver
East Germany-Prior 1992,"STROPAHL-STREIDT, Ellen",Women,400M,Bronze
Poland,"SZEWINSKA, Irena",Women,400M,Gold
East Germany-Prior 1992,"BREHMER-LATHAN, Christina",Women,400M,Silver
USSR-Prior 1992,"GAVRILENKO, Yevgeni",Men,400M Hurdles,Bronze
United States,"MOSES, Edwin",Men,400M Hurdles,Gold
United States,"SHINE, Michael Lyle",Men,400M Hurdles,Silver
Germany- Prior 1990,"HILDENBRAND, Klaus-Peter",Men,5000M,Bronze
Finland,"VIREN, Lasse",Men,5000M,Gold
New Zealand,"QUAX, Dick Theodorus",Men,5000M,Silver
United States,"WOHLHUTER, Richard Charles",Men,800M,Bronze
Cuba,"JUANTORENA, Alberto",Men,800M,Gold
Belgium,"VAN DAMME, Ivo",Men,800M,Silver
East Germany-Prior 1992,"ZINN, Elfi",Women,800M,Bronze
USSR-Prior 1992,"KAZANKINA, Tatiana",Women,800M,Gold
Bulgaria,"CHTEREVA, Nikolina",Women,800M,Silver
USSR-Prior 1992,"AVILOV, Nikolai",Men,Decathlon,Bronze
United States,"JENNER, William Bruce",Men,Decathlon,Gold
Germany- Prior 1990,"KRATSCHMER, Guido",Men,Decathlon,Silver
United States,"POWELL, John Gates",Men,Discus Throw,Bronze
United States,"WILKINS, Malcolm Maurice",Men,Discus Throw,Gold
East Germany-Prior 1992,"SCHMIDT, Wolfgang",Men,Discus Throw,Silver
East Germany-Prior 1992,"HINZMANN, Gabriele",Women,Discus Throw,Bronze
East Germany-Prior 1992,"SCHLAAK-JAHL, Evelin",Women,Discus Throw,Gold
Bulgaria,"VERGOVA-PETKOVA, Maria",Women,Discus Throw,Silver
USSR-Prior 1992,"BONDARCHUK, Anatoli",Men,Hammer Throw,Bronze
USSR-Prior 1992,"SEDYKH, Yuri",Men,Hammer Throw,Gold
USSR-Prior 1992,"SPIRIDONOV, Aleksei",Men,Hammer Throw,Silver
United States,"STONES, Dwight Edwin",Men,High Jump,Bronze
Poland,"WSZOLA, Jacek",Men,High Jump,Gold
Canada,"JOY, Gregory",Men,High Jump,Silver
Bulgaria,"BLAGOEVA-DIMITROVA, Yordanka",Women,High Jump,Bronze
East Germany-Prior 1992,"WITSCHAS-ACKERMANN, Rosemarie",Women,High Jump,Gold
Italy,"SIMEONI, Sara",Women,High Jump,Silver
Romania,"MEGELEA, Gheorghe",Men,Javelin Throw,Bronze
Hungary,"NEMETH, Miklos",Men,Javelin Throw,Gold
Finland,"SIITONEN, Hannu Juhani",Men,Javelin Throw,Silver
United States,"SCHMIDT, Kathryn Joan",Women,Javelin Throw,Bronze
East Germany-Prior 1992,"FUCHS, Ruth",Women,Javelin Throw,Gold
Germany- Prior 1990,"BECKER-STEINER, Marion",Women,Javelin Throw,Silver
East Germany-Prior 1992,"WARTENBERG, Frank",Men,Long Jump,Bronze
United States,"ROBINSON, Arnie",Men,Long Jump,Gold
United States,"WILLIAMS, Randel Luvelle",Men,Long Jump,Silver
USSR-Prior 1992,"ALFEEVA, Lidia",Women,Long Jump,Bronze
East Germany-Prior 1992,"VOIGT, Angela",Women,Long Jump,Gold
United States,"MCMILLAN, Catherine Laverne",Women,Long Jump,Silver
Belgium,"LISMONT, Karel",Men,Marathon,Bronze
East Germany-Prior 1992,"CIERPINSKI, Waldemar",Men,Marathon,Gold
United States,"SHORTER, Frank Charles",Men,Marathon,Silver
East Germany-Prior 1992,"POLLAK, Burglinde",Women,Pentathlon,Bronze
East Germany-Prior 1992,"SIEGL, Siegrun",Women,Pentathlon,Gold
East Germany-Prior 1992,"BODNER-LASER, Christine",Women,Pentathlon,Silver
United States,"ROBERTS, David Luther",Men,Pole Vault,Bronze
Poland,"SLUSARSKI, Tadeusz",Men,Pole Vault,Gold
Finland,"KALLIOMÄKI, Antti Tapani",Men,Pole Vault,Silver
USSR-Prior 1992,"BARYSHNIKOV, Aleksandr",Men,Shot Put,Bronze
East Germany-Prior 1992,"BEYER, Udo",Men,Shot Put,Gold
USSR-Prior 1992,"MIRONOV, Yevgeni",Men,Shot Put,Silver
Czechoslovakia- Prior 1992,"FIBINGEROVA, Helena",Women,Shot Put,Bronze
Bulgaria,"CHRISTOVA-TODOROVA, Ivanka Mikailova",Women,Shot Put,Gold
USSR-Prior 1992,"CHIZHOVA, Nadezhda",Women,Shot Put,Silver
Brazil,"DE OLIVEIRA, Joao Carlos",Men,Triple Jump,Bronze
USSR-Prior 1992,"SANEEV, Viktor",Men,Triple Jump,Gold
United States,"BUTTS, James A.",Men,Triple Jump,Silver
Ethiopia,"KEDIR, Mohammed",Men,10000M,Bronze
Ethiopia,"YIFTER, Miruts",Men,10000M,Gold
Finland,"MAANINKA, Kaarlo",Men,10000M,Silver
Bulgaria,"PETROV, Peter",Men,100M,Bronze
United Kingdom,"WELLS, Allan",Men,100M,Gold
Cuba,"LEONARD SARRIA, Silvio",Men,100M,Silver
East Germany-Prior 1992,"AUERSWALD-LANGE, Ingrid",Women,100M,Bronze
USSR-Prior 1992,"KONDRATIEVA, Liudmila",Women,100M,Gold
East Germany-Prior 1992,"OELSNER-GÖHR, Marlies",Women,100M,Silver
Poland,"LANGER, Lucyna",Women,100M Hurdles,Bronze
USSR-Prior 1992,"KOMISOVA, Vera",Women,100M Hurdles,Gold
East Germany-Prior 1992,"SCHALLER-KLIER, Johanna",Women,100M Hurdles,Silver
USSR-Prior 1992,"PUCHKOV, Aleksandr",Men,110M Hurdles,Bronze
East Germany-Prior 1992,"MUNKELT, Thomas",Men,110M Hurdles,Gold
Cuba,"CASANAS RAMIREZ, Alejandro",Men,110M Hurdles,Silver
United Kingdom,"OVETT, Steve",Men,1500M,Bronze
United Kingdom,"COE, Sebastian",Men,1500M,Gold
East Germany-Prior 1992,"STRAUB, Jürgen",Men,1500M,Silver
USSR-Prior 1992,"OLIZARENKO, Nadezhda",Women,1500M,Bronze
USSR-Prior 1992,"KAZANKINA, Tatiana",Women,1500M,Gold
East Germany-Prior 1992,"STOLL-WARTENBERG, Christiane",Women,1500M,Silver
Jamaica,"QUARRIE, Donald",Men,200M,Bronze
Italy,"MENNEA, Pietro",Men,200M,Gold
United Kingdom,"WELLS, Allan",Men,200M,Silver
Jamaica,"OTTEY-PAGE, Merlene",Women,200M,Bronze
East Germany-Prior 1992,"ECKERT-WÖCKEL, Bärbel",Women,200M,Gold
USSR-Prior 1992,"BOCHINA, Natalia",Women,200M,Silver
East Germany-Prior 1992,"WIESER, Roland",Men,20KM Walk,Bronze
Italy,"DAMILANO, Maurizio",Men,20KM Walk,Gold
USSR-Prior 1992,"POCHINCHUK, Piotr",Men,20KM Walk,Silver
Ethiopia,"TURA, Eshetu",Men,3000M Steeplechase,Bronze
Poland,"MALINOWSKI, Bronislaw",Men,3000M Steeplechase,Gold
Tanzania,"BAYI, Filbert",Men,3000M Steeplechase,Silver
East Germany-Prior 1992,"SCHAFFER, Frank",Men,400M,Bronze
USSR-Prior 1992,"MARKIN, Viktor",Men,400M,Gold
Australia,"MITCHELL, Richard",Men,400M,Silver
East Germany-Prior 1992,"BREHMER-LATHAN, Christina",Women,400M,Bronze
East Germany-Prior 1992,"KOCH, Marita",Women,400M,Gold
Czechoslovakia- Prior 1992,"KRATOHVILOVA, Jarmila",Women,400M,Silver
United Kingdom,"OAKES, Gary",Men,400M Hurdles,Bronze
East Germany-Prior 1992,"BECK, Volker",Men,400M Hurdles,Gold
USSR-Prior 1992,"ARKHIPENKO, Vasili",Men,400M Hurdles,Silver
Finland,"MAANINKA, Kaarlo",Men,5000M,Bronze
Ethiopia,"YIFTER, Miruts",Men,5000M,Gold
Tanzania,"NYAMBUI, Suleiman",Men,5000M,Silver
USSR-Prior 1992,"IVCHENKO, Evgeni",Men,50KM Walk,Bronze
East Germany-Prior 1992,"GAUDER, Hartwig",Men,50KM Walk,Gold
Spain,"LLOPART RIBAS, Jorge",Men,50KM Walk,Silver
USSR-Prior 1992,"KIROV, Nikolai",Men,800M,Bronze
United Kingdom,"OVETT, Steve",Men,800M,Gold
United Kingdom,"COE, Sebastian",Men,800M,Silver
